Unnamed: 0,Last avail. year
869.0,2013-01-01
873.0,2012-01-01
874.0,2021-01-01
875.0,2009-01-01
876.0,2022-01-01
878.0,2020-01-01
879.0,2021-01-01
882.0,2005-01-01
885.0,2014-01-01
886.0,2017-01-01
888.0,2013-01-01
889.0,2022-01-01
890.0,2020-01-01
891.0,2014-01-01
892.0,2022-01-01
893.0,2022-01-01
895.0,2021-01-01
896.0,2019-01-01
897.0,2020-01-01
898.0,2020-01-01
900.0,2022-01-01
902.0,2021-01-01
903.0,2022-01-01
905.0,2022-01-01
907.0,2006-01-01
908.0,2019-01-01
909.0,2018-01-01
910.0,2017-01-01
912.0,2015-01-01
913.0,2014-01-01
914.0,2013-01-01
915.0,2021-01-01
917.0,2021-01-01
918.0,2020-01-01
921.0,2017-01-01
924.0,2011-01-01
925.0,2016-01-01
926.0,2021-01-01
928.0,2019-01-01
929.0,2021-01-01
930.0,2008-01-01
931.0,2010-01-01
932.0,2021-01-01
933.0,2017-01-01
938.0,2019-01-01
939.0,2022-01-01
940.0,2019-01-01
941.0,2012-01-01
942.0,2016-01-01
944.0,2017-01-01
946.0,2020-01-01
947.0,2017-01-01
952.0,2022-01-01
953.0,2014-01-01
957.0,2021-01-01
958.0,2020-01-01
959.0,2013-01-01
960.0,2003-01-01
961.0,2008-01-01
962.0,2022-01-01
965.0,2021-01-01
966.0,2020-01-01
967.0,2020-01-01
968.0,2016-01-01
969.0,2019-01-01
970.0,2021-01-01
971.0,2013-01-01
972.0,2022-01-01
974.0,2021-01-01
975.0,2011-01-01
976.0,2021-01-01
977.0,2014-01-01
978.0,2010-01-01
984.0,2020-01-01
985.0,2017-01-01
987.0,2020-01-01
988.0,2011-01-01
989.0,2019-01-01
990.0,2012-01-01
991.0,2019-01-01
992.0,2015-01-01
995.0,2020-01-01
996.0,2019-01-01
997.0,2019-01-01
999.0,2020-01-01
1001.0,2012-01-01
1002.0,2008-01-01
1004.0,2021-01-01
1006.0,2019-01-01
1007.0,2017-01-01
1008.0,2021-01-01
1009.0,2021-01-01
1010.0,2022-01-01
1012.0,2016-01-01
1013.0,2009-01-01
1015.0,2016-01-01
1017.0,2020-01-01
1018.0,2019-01-01
1020.0,2013-01-01
1021.0,2021-01-01
1022.0,2020-01-01
1026.0,2015-01-01
1027.0,2021-01-01
1029.0,2021-01-01
1030.0,2012-01-01
1032.0,2015-01-01
1034.0,2007-01-01
1036.0,2021-01-01
1038.0,2009-01-01
1039.0,2010-01-01
1041.0,2021-01-01
1042.0,2017-01-01
1043.0,2009-01-01
1044.0,2017-01-01
1045.0,2008-01-01
1046.0,2021-01-01
1047.0,2021-01-01
1048.0,2019-01-01
1050.0,2018-01-01
1051.0,2021-01-01
1053.0,2019-01-01
1054.0,2020-01-01
1059.0,2020-01-01
1060.0,2021-01-01
1061.0,2011-01-01
1062.0,2020-01-01
1063.0,2010-01-01
1064.0,2015-01-01
1065.0,2015-01-01
1071.0,2006-01-01
1072.0,2005-01-01
1074.0,2018-01-01
1076.0,2022-01-01
1077.0,2011-01-01
1078.0,2016-01-01
1080.0,2008-01-01
1082.0,2019-01-01
1086.0,2022-01-01
1088.0,2021-01-01
1090.0,2019-01-01
1092.0,2022-01-01
1095.0,2021-01-01
1096.0,2022-01-01
1097.0,2009-01-01
1098.0,2020-01-01
1102.0,2022-01-01
1103.0,2012-01-01
1105.0,2020-01-01
1109.0,2020-01-01
1110.0,2020-01-01
1112.0,2015-01-01
1114.0,2017-01-01
1115.0,2016-01-01
1117.0,2022-01-01
1120.0,2021-01-01
1121.0,2016-01-01
1122.0,2018-01-01
1123.0,2014-01-01
1125.0,2015-01-01
1126.0,2015-01-01
1129.0,2019-01-01
1132.0,2019-01-01
1133.0,2022-01-01
1136.0,2017-01-01
1137.0,2009-01-01
1140.0,2018-01-01
1142.0,2022-01-01
1144.0,2022-01-01
1146.0,2010-01-01
1148.0,2017-01-01
1149.0,2012-01-01
1150.0,2022-01-01
1152.0,2020-01-01
1153.0,2006-01-01
1155.0,2020-01-01
1156.0,2022-01-01
1157.0,2021-01-01
1159.0,2011-01-01
1161.0,2014-01-01
1162.0,2016-01-01
1163.0,2011-01-01
1165.0,2022-01-01
1168.0,2014-01-01
1169.0,2020-01-01
1171.0,2011-01-01
1173.0,2021-01-01
1174.0,2022-01-01
1176.0,2012-01-01
1177.0,2019-01-01
1180.0,2009-01-01
1185.0,2015-01-01
1186.0,2020-01-01
1187.0,2019-01-01
1189.0,2009-01-01
1191.0,2020-01-01
1192.0,2021-01-01
1194.0,2011-01-01
1195.0,2020-01-01
1201.0,2011-01-01
1204.0,2020-01-01
1206.0,2014-01-01
1207.0,2008-01-01
1209.0,2022-01-01
1212.0,2019-01-01
1213.0,2020-01-01
1214.0,2007-01-01
1216.0,2021-01-01
1218.0,2021-01-01
1219.0,2022-01-01
1220.0,2019-01-01
1222.0,2011-01-01
1224.0,2013-01-01
1225.0,2010-01-01
1226.0,2021-01-01
1227.0,2016-01-01
1229.0,2016-01-01
1230.0,2022-01-01
1231.0,2014-01-01
1233.0,2011-01-01
1236.0,2021-01-01
1237.0,2021-01-01
1238.0,2011-01-01
1239.0,2007-01-01
1240.0,2020-01-01
1241.0,2015-01-01
1244.0,2010-01-01
1245.0,2021-01-01
1248.0,2008-01-01
1249.0,2022-01-01
1250.0,2012-01-01
1251.0,2015-01-01
1253.0,2020-01-01
1254.0,2021-01-01
1255.0,2016-01-01
1256.0,2016-01-01
1257.0,2020-01-01
1258.0,2020-01-01
1260.0,2022-01-01
1262.0,2021-01-01
1263.0,2021-01-01
1264.0,2021-01-01
1266.0,2013-01-01
1267.0,2009-01-01
1268.0,2021-01-01
1270.0,2004-01-01
1272.0,2015-01-01
1273.0,2022-01-01
1275.0,2021-01-01
1277.0,2008-01-01
1279.0,2022-01-01
1280.0,2021-01-01
1283.0,2016-01-01
1284.0,2022-01-01
1285.0,2009-01-01
1286.0,2021-01-01
1287.0,2019-01-01
1288.0,2022-01-01
1289.0,2015-01-01
1290.0,2019-01-01
1292.0,2021-01-01
1293.0,2018-01-01
1294.0,2021-01-01
1295.0,2007-01-01
1296.0,2007-01-01
1297.0,2014-01-01
1300.0,2021-01-01
1301.0,2015-01-01
1303.0,2016-01-01
1304.0,2016-01-01
1305.0,2017-01-01
1308.0,2022-01-01
1309.0,2020-01-01
1315.0,2012-01-01
1319.0,2018-01-01
1322.0,2016-01-01
1323.0,2021-01-01
1324.0,2021-01-01
1325.0,2021-01-01
1326.0,2014-01-01
1327.0,2012-01-01
1329.0,2022-01-01
1330.0,2018-01-01
1331.0,2021-01-01
1334.0,2014-01-01
1335.0,2013-01-01
1336.0,2019-01-01
1341.0,2022-01-01
1342.0,2020-01-01
1344.0,2013-01-01
1345.0,2020-01-01
1347.0,2022-01-01
1348.0,2008-01-01
1350.0,2015-01-01
1351.0,2012-01-01
1352.0,2002-01-01
1353.0,2022-01-01
1354.0,2022-01-01
1355.0,2019-01-01
1357.0,2011-01-01
1358.0,2022-01-01
1361.0,2015-01-01
1362.0,2014-01-01
1363.0,2016-01-01
1366.0,2022-01-01
1367.0,2014-01-01
1372.0,2011-01-01
1374.0,2015-01-01
1376.0,2020-01-01
1377.0,2021-01-01
1378.0,2022-01-01
1380.0,2022-01-01
1381.0,2011-01-01
1384.0,2021-01-01
1385.0,2020-01-01
1387.0,2019-01-01
1388.0,2022-01-01
1389.0,2022-01-01
1393.0,2017-01-01
1394.0,2022-01-01
1395.0,2017-01-01
1404.0,2015-01-01
1405.0,2014-01-01
1407.0,2021-01-01
1410.0,2014-01-01
1413.0,2013-01-01
1416.0,2021-01-01
1417.0,2017-01-01
1418.0,2019-01-01
1419.0,2017-01-01
1420.0,2019-01-01
1422.0,2015-01-01
1424.0,2005-01-01
1426.0,2022-01-01
1427.0,2013-01-01
1428.0,2020-01-01
1429.0,2016-01-01
1431.0,2008-01-01
1432.0,2018-01-01
1433.0,2015-01-01
1434.0,2017-01-01
1435.0,2022-01-01
1436.0,2007-01-01
1437.0,2006-01-01
1439.0,2008-01-01
1442.0,2020-01-01
1445.0,2011-01-01
1447.0,2022-01-01
1449.0,2018-01-01
1450.0,2021-01-01
1454.0,2022-01-01
1456.0,2019-01-01
1459.0,2009-01-01
1460.0,2016-01-01
1461.0,2020-01-01
1462.0,2015-01-01
1464.0,2017-01-01
1467.0,2020-01-01
1471.0,2003-01-01
1473.0,2021-01-01
1474.0,2012-01-01
1475.0,2002-01-01
1476.0,2022-01-01
1477.0,2010-01-01
1478.0,2017-01-01
1479.0,2009-01-01
1481.0,2022-01-01
1482.0,2018-01-01
1483.0,2021-01-01
1484.0,2019-01-01
1485.0,2013-01-01
1490.0,2016-01-01
1492.0,2016-01-01
1498.0,2017-01-01
1499.0,2021-01-01
1500.0,2020-01-01
1501.0,2020-01-01
1503.0,2018-01-01
1507.0,2021-01-01
1508.0,2017-01-01
1510.0,2021-01-01
1513.0,2012-01-01
1515.0,2014-01-01
1516.0,2017-01-01
1519.0,2021-01-01
1520.0,2021-01-01
1523.0,2011-01-01
1526.0,2020-01-01
1527.0,2021-01-01
1528.0,2014-01-01
1529.0,2006-01-01
1531.0,2003-01-01
1532.0,2008-01-01
1536.0,2016-01-01
1539.0,2009-01-01
1540.0,2015-01-01
1541.0,2011-01-01
1544.0,2018-01-01
1545.0,2018-01-01
1553.0,2018-01-01
1557.0,2012-01-01
1558.0,2020-01-01
1559.0,2016-01-01
1560.0,2018-01-01
1562.0,2005-01-01
1569.0,2019-01-01
1570.0,2015-01-01
1571.0,2014-01-01
1572.0,2021-01-01
1575.0,2018-01-01
1578.0,2020-01-01
1579.0,2017-01-01
1580.0,2015-01-01
1581.0,2021-01-01
1582.0,2022-01-01
1583.0,2020-01-01
1584.0,2021-01-01
1585.0,2014-01-01
1587.0,2022-01-01
1591.0,2020-01-01
1592.0,2014-01-01
1593.0,2021-01-01
1595.0,2012-01-01
1597.0,2011-01-01
1599.0,2019-01-01
1603.0,2015-01-01
1604.0,2021-01-01
1606.0,2012-01-01
1607.0,2007-01-01
1610.0,2022-01-01
1612.0,2019-01-01
1613.0,2019-01-01
1614.0,2022-01-01
1616.0,2022-01-01
1617.0,2020-01-01
1618.0,2009-01-01
1619.0,2017-01-01
1620.0,2022-01-01
1621.0,2021-01-01
1622.0,2019-01-01
1625.0,2013-01-01
1627.0,2022-01-01
1628.0,2002-01-01
1631.0,2007-01-01
1632.0,2017-01-01
1633.0,2020-01-01
1636.0,2016-01-01
1641.0,2021-01-01
1644.0,2011-01-01
1645.0,2020-01-01
1647.0,2019-01-01
1649.0,2022-01-01
1650.0,2016-01-01
1651.0,2021-01-01
1653.0,2019-01-01
1658.0,2021-01-01
1659.0,2021-01-01
1660.0,2020-01-01
1661.0,2014-01-01
1663.0,2020-01-01
1665.0,2020-01-01
1669.0,2020-01-01
1670.0,2018-01-01
1672.0,2011-01-01
1673.0,2016-01-01
1675.0,2021-01-01
1676.0,2014-01-01
1677.0,2020-01-01
1679.0,2017-01-01
1680.0,2017-01-01
1682.0,2021-01-01
1685.0,2017-01-01
1689.0,2022-01-01
1691.0,2019-01-01
1692.0,2015-01-01
1694.0,2015-01-01
1696.0,2011-01-01
1697.0,2017-01-01
1698.0,2017-01-01
1699.0,2022-01-01
1702.0,2016-01-01
1703.0,2015-01-01
1705.0,2016-01-01
1706.0,2021-01-01
1708.0,2019-01-01
1709.0,2021-01-01
1710.0,2014-01-01
1713.0,2021-01-01
1725.0,2015-01-01
1726.0,2014-01-01
1727.0,2013-01-01
1728.0,2013-01-01
1730.0,2021-01-01
1731.0,2002-01-01
1738.0,2021-01-01
1739.0,2022-01-01
1740.0,2021-01-01
1742.0,2022-01-01
1744.0,2011-01-01
1745.0,2022-01-01
1747.0,2022-01-01
1750.0,2005-01-01
1751.0,2017-01-01
1752.0,2021-01-01
1753.0,2020-01-01
1754.0,2011-01-01
1755.0,2022-01-01
1757.0,2016-01-01
1758.0,2022-01-01
1760.0,2020-01-01
1761.0,2019-01-01
1764.0,2012-01-01
1766.0,2020-01-01
1768.0,2017-01-01
1769.0,2021-01-01
1771.0,2022-01-01
1772.0,2014-01-01
1773.0,2021-01-01
1774.0,2020-01-01
1775.0,2005-01-01
1778.0,2012-01-01
1779.0,2020-01-01
1780.0,2020-01-01
1781.0,2017-01-01
1782.0,2020-01-01
1783.0,2011-01-01
1784.0,2007-01-01
1786.0,2017-01-01
1787.0,2022-01-01
1789.0,2021-01-01
1790.0,2015-01-01
1791.0,2013-01-01
1794.0,2014-01-01
1795.0,2016-01-01
1796.0,2021-01-01
1800.0,2022-01-01
1801.0,2015-01-01
1806.0,2020-01-01
1807.0,2020-01-01
1808.0,2022-01-01
1809.0,2018-01-01
1811.0,2017-01-01
1812.0,2001-01-01
1813.0,2020-01-01
1815.0,2010-01-01
1817.0,2016-01-01
1818.0,2015-01-01
1819.0,2011-01-01
1821.0,2006-01-01
1822.0,2022-01-01
1823.0,2021-01-01
1824.0,2013-01-01
1827.0,2013-01-01
1828.0,2016-01-01
1831.0,2010-01-01
1832.0,2020-01-01
1834.0,2014-01-01
1836.0,2022-01-01
1837.0,2013-01-01
1838.0,2020-01-01
1840.0,2011-01-01
1841.0,2016-01-01
1843.0,2018-01-01
1844.0,2020-01-01
1845.0,2011-01-01
1846.0,2020-01-01
1848.0,2020-01-01
1849.0,2015-01-01
1853.0,2016-01-01
1854.0,2014-01-01
1855.0,2021-01-01
1856.0,2018-01-01
1857.0,2011-01-01
1858.0,2021-01-01
1859.0,2016-01-01
1861.0,2014-01-01
1863.0,2016-01-01
1866.0,2015-01-01
1867.0,2021-01-01
1868.0,2019-01-01
1869.0,2009-01-01
1870.0,2019-01-01
1871.0,2020-01-01
1874.0,2021-01-01
1875.0,2016-01-01
1877.0,2014-01-01
1879.0,2021-01-01
