index,bankruptcy,active,bankruptcy_indicator,time_to_event,mean_operating_revenue,mean_cash_flow,mean_total_assets,mean_n_employees,n_legal_events,peer_group_size
8301,2017-04-09,2004-05-02,1,4725.0,39.207538930753834,17.514488655424106,53.72476997201443,0.6666666666666666,4.0,6789
8303,2015-09-28,2012-09-07,1,1116.0,143.34135187208668,1.7098081367254259,11.18146669700146,1.0,9.0,148629
8308,2015-05-03,2015-05-03,1,0.0,2.0247326965928,13.131080518603323,23.10681422421929,0.0,10.0,5491
8311,2014-05-20,1996-05-07,1,6587.0,0.0,0.0,228.22878261067868,0.0,4.0,1582861
8313,2016-10-10,1994-10-18,1,8028.0,0.0,-10.39245830979348,12.917622196507448,0.0,4.0,1125128
8332,2015-04-13,1994-03-24,1,7690.0,0.0,1.7175969362258918,3.9865006309747693,0.0,8.0,239881
8333,2015-11-16,2011-01-24,1,1757.0,0.0,0.0,3.75925176548958,0.0,6.0,316913
8336,2015-03-26,2015-03-26,1,0.0,0.0,19.61174784719944,297.127902542305,0.0,6.0,1481792
8341,2014-10-09,2008-09-29,1,2201.0,180.56782784026868,0.6908603750228934,225.49668725295078,3.5,10.0,1435311
8342,2015-09-21,2012-04-12,1,1257.0,0.0,0.0,0.0,0.0,7.0,23933
8354,2016-06-23,2005-05-19,1,4053.0,0.0,4.653367047095289,25.57505543978214,0.0,8.0,1507576
8358,2016-10-05,2002-05-29,1,5243.0,0.0,-9.691533100485799,626.7053912791489,0.0,4.0,35134
8371,2014-02-24,1968-01-01,1,16856.0,0.0,-75.77062257931236,1751.4304785025383,15.333333333333334,16.0,161283
8389,2015-02-16,2011-02-22,1,1455.0,0.0,4.117606168174747,78.6778930534362,1.1666666666666667,1.0,2693579
8390,2016-10-08,2002-06-26,1,5218.0,0.0,17.0199526373863,128.23232164287572,6.333333333333333,8.0,122048
8398,2014-11-27,2013-11-09,1,383.0,0.0,0.0,0.0,0.0,4.0,683825
8405,2013-04-29,2009-07-12,1,1387.0,0.0,22.66594288830758,66.30499388489741,0.6666666666666666,4.0,31608
8409,2017-02-14,1992-12-03,1,8839.0,0.0,-1.1795681889534002,120.1804237064362,0.0,9.0,70802
8411,2015-12-03,1993-12-02,1,8036.0,0.0,3.3706748810052813,29.1511286396265,0.0,1.0,309900
8418,,2016-05-01,0,2405.0,0.0,0.0,0.0,0.6666666666666666,9.0,6626
8419,2015-11-19,2011-03-31,1,1694.0,0.0,26.0783594096899,95.4603699223996,3.3333333333333335,6.0,1507576
8420,2013-03-21,2007-08-03,1,2057.0,0.0,51.214556217169765,291.71374126975525,0.0,14.0,29183
8422,2013-09-07,2010-01-09,1,1337.0,7318.022198433034,62.9355496124982,2505.1006933716,16.666666666666668,10.0,128423
8426,2018-10-15,2015-04-21,1,1273.0,0.0,0.0,0.0,0.0,13.0,2693579
8430,2018-12-06,2013-04-02,1,2074.0,0.0,0.0,0.0,0.0,10.0,239881
8431,2015-10-26,1998-02-27,1,6450.0,0.0,0.6936286278724619,55.46830236413481,0.0,4.0,162080
8434,2013-01-10,2011-04-20,1,631.0,0.0,0.0,0.0,0.0,4.0,974432
8441,2016-09-06,2016-09-06,1,0.0,0.0,1.0880422048091867,198.58074450077999,0.0,4.0,125994
8448,,2021-01-06,0,694.0,0.0,0.0,0.0,0.3333333333333333,1.0,544636
8449,2013-12-23,2009-06-15,1,1652.0,0.0,0.0,0.0,0.0,4.0,205941
8459,2014-10-09,2013-04-22,1,535.0,0.0,0.0,0.0,0.0,4.0,183200
8460,2014-03-24,2010-05-18,1,1406.0,123.822257390062,-0.19053864140510016,15.6760120569706,0.5,6.0,99497
8461,2016-11-21,2011-08-16,1,1924.0,0.0,13.96800772886274,172.87792065963745,5.0,4.0,267025
8465,2013-06-08,1987-12-03,1,9319.0,847.7604891126348,-3.8204280521631113,641.6245964478254,2.8333333333333335,40.0,60756
8469,2015-11-05,2009-07-28,1,2291.0,0.0,26.0830128379345,255.077900169754,0.6666666666666666,8.0,183200
8470,2014-04-03,2011-01-26,1,1163.0,0.0,7.7046479418039215,34.93171283149718,0.16666666666666666,4.0,544636
8474,2014-11-19,1989-11-13,1,9137.0,0.0,24.956061593317997,124.87410589909572,1.3333333333333333,10.0,361649
8482,2015-01-26,2010-08-31,1,1609.0,197.10276238322265,23.70010422410964,134.1194702883482,0.8333333333333334,20.0,171170
8483,2015-03-04,2015-03-04,1,0.0,49.64329307031633,-0.91906236820221,36.1927364582062,0.0,14.0,354654
8488,2016-10-11,2012-03-20,1,1666.0,0.0,1.1968815413951779,159.39928907554162,26.166666666666668,1.0,354654
8491,2016-02-15,2008-07-31,1,2755.0,0.0,-21.27540619342318,35.9393593168736,2.0,30.0,1435311
8497,2021-01-06,2012-07-26,1,3086.0,0.0,1.160298597478868,24.464073456048947,0.3333333333333333,4.0,189263
8506,2018-10-07,2003-10-22,1,5464.0,0.0,0.0,7.4743112221479375,0.0,4.0,969407
8518,2015-08-20,2015-08-20,1,0.0,0.0,5.553150169897081,59.148353887844074,0.0,4.0,544636
8524,2014-09-01,1991-05-24,1,8501.0,0.0,35.864964231991806,4081.8594881265876,20.333333333333332,36.0,328760
8527,2018-04-06,2014-09-04,1,1310.0,0.0,0.0,0.0,0.0,7.0,2693579
8528,2015-08-19,1963-08-10,1,19002.0,0.0,-22.748465817189214,205.18453690378678,0.0,32.0,112006
8530,2016-12-19,2010-02-04,1,2510.0,0.0,8.30508074398038,257.00533283152583,0.0,4.0,969407
8541,2013-05-22,2005-11-07,1,2753.0,0.0,1.7868724551200852,13.595654514837282,0.0,7.0,134241
8542,2011-06-21,2011-06-21,1,0.0,0.0,3.2301142061233596,15.8267240617752,0.6666666666666666,12.0,731053
8548,2013-07-24,2012-10-01,1,296.0,0.0,0.0,0.0,0.0,4.0,255582
8560,2016-05-01,1987-03-19,1,10636.0,0.0,3.7561964488029402,199.806603403306,0.0,1.0,196806
8563,2017-06-19,2006-08-22,1,3954.0,0.0,0.0,0.0,0.0,4.0,150908
8571,2014-03-20,2012-06-18,1,640.0,0.0,0.0,0.0,0.0,10.0,974432
8574,2013-06-24,2005-09-08,1,2846.0,0.0,23.65238636457918,223.57299842791554,0.0,4.0,669825
8581,2013-09-09,2007-01-06,1,2438.0,0.0,10.9125926618576,18.84166033411026,0.0,4.0,35304
8582,2016-08-03,2016-08-03,1,0.0,0.0,-76.55288634727007,1114.1535061486968,0.0,1.0,36926
8597,2015-09-12,1998-02-02,1,6431.0,0.0,6.087392782258988,88.10131346182825,0.0,4.0,189297
8598,2016-12-22,1990-02-19,1,9803.0,0.0,-1.2390935048103295,35.39149495811464,0.0,4.0,379588
