"","index","status","end_date","start_date","years_to_event","event_indicator","total_liabilities_by_net_assets","cash_by_total_assets","cash_by_current_liabilities","current_assets_by_current_liabilities","tax","financial_expenses_by_total_assets","EBIT","working_capital_by_total_assets","size_classification","income_tax_by_total_assets","sector","cooperative","nonprofit","other","private","public","censor","size_small","size_large","size_v_large","EBITDA","log_cash_by_current_liabilities","log_cash_by_total_assets","log_total_liabilities_by_net_assets","log_total_liabilities_by_total_assets"
"7977",8013,"Merger by absorption","2019-05-15 00:00:00.000000000","2012-06-13",7,0,10244.9888641425,0.000108478260869565,0.000189230185817217,1.17026924535457,666.666666666667,0.00923913043478261,-232666.666666667,0.426086956521739,"Medium sized",0.000217391304347826,"C - Manufacturing",0,0,0,0,1,0,0,0,0,413000,-8.57254636958391,-9.1289607657078,9.23454397371707,9.23454397371707
"7978",8014,"Bankruptcy","2022-03-10 00:00:00.000000000","2012-06-14",10,2,-2193.27731092437,0.00000383141762452107,0.00000763358778625954,0.0763358778625954,0,0,-35666.6666666667,-0.264367816091954,"Small",0,"S - Other service activities",0,0,0,1,0,1,1,0,0,-28666.6666666667,-11.7829526021833,-12.4722756863048,NA,NA
"7979",8015,"Liquidation","2021-12-23 00:00:00.000000000","2012-06-14",9,4,1602.43407707911,0.000287658227848101,0.00286750788643533,7.22082018927445,117333.333333333,0.000949367088607595,-42666.6666666667,0.0208860759493671,"Small",0.111392405063291,"M - Professional, scientific and technical activities",0,0,0,1,0,0,1,0,0,65666.6666666667,-5.85431195868194,-8.15373749138562,7.37927905040051,7.37927905040051
"7980",8016,"Bankruptcy","2020-06-05 00:00:00.000000000","2012-06-12",8,2,2125,0.000574509803921569,0.0011015037593985,1.8984962406015,16000,0.0411764705882353,78000,0.373529411764706,"Small",0.0941176470588235,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,78666.6666666667,-6.81107897874677,-7.46199339568344,7.66152708135852,7.66152708135852
"7981",8017,"Liquidation","2021-11-30 00:00:00.000000000","2012-06-15",9,4,-352.755905511811,0.000100446428571429,0.0000336826347305389,0.0508982035928144,0,0.0803571428571428,-35666.6666666667,-0.299107142857143,"Small",0,"I - Accommodation and food service activities",0,0,0,1,0,0,1,0,0,-23000,-10.2985281433084,-9.2058860216268,NA,NA
"7982",8018,"Liquidation","2022-04-07 00:00:00.000000000","2012-06-14",10,4,-7272.55520504732,0.0000171770625487985,0.0000807174887892377,0.516510395434162,0,0.0231630085885313,46000,0.0122321506029322,"Medium sized",0,"M - Professional, scientific and technical activities",0,0,0,0,1,0,0,0,0,103333.333333333,-9.42455529254609,-10.9719356368886,NA,NA
"7983",8019,"Merger by absorption","2020-07-01 00:00:00.000000000","2012-06-12",8,0,-3508.47457627119,0.000182884748102139,0.00033083645443196,0.484394506866417,8333.33333333333,0.0151828847481021,116666.666666667,-0.110420979986197,"Small",0.0172532781228433,"Q - Human health and social work activities",0,0,0,1,0,0,1,0,0,258000,-8.01388640006427,-8.6066543953166,NA,NA
"7984",8020,"Liquidation","2022-09-28 00:00:00.000000000","2012-06-18",10,4,1678.68338557994,0.000746965452847806,0.00203045685279188,2.61675126903553,24666.6666666667,0,35000,0.177404295051354,"Small",0.069094304388422,"C - Manufacturing",0,0,0,1,0,0,1,0,0,40666.6666666667,-6.19949446061214,-7.19949162176196,7.4257650660851,7.4257650660851
"7985",8021,"Bankruptcy","2022-06-27 00:00:00.000000000","2012-06-19",10,2,3771.9298245614,0.0000558139534883721,0.0000771704180064309,1.37299035369775,22000,0.0209302325581395,43666.6666666667,0.144186046511628,"Small",0.153488372093023,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,1,1,0,0,45666.6666666667,-9.46949436081343,-9.7934866573218,8.23534203927525,8.23534203927525
"7986",8022,"Provisional suspension","2022-08-26 00:00:00.000000000","2012-06-08",10,1,7368.76640419948,0.000000356188780053428,0.000000554938956714761,1.22891231964484,0,0.0270703472840606,25000,0.0516473731077471,"Small",0,"N - Administrative and support service activities",0,0,0,0,1,0,1,0,0,322333.333333333,-14.4044077171504,-14.8478049655947,8.90500559046803,8.90500559046803
